2015-09-09 16:17:49 ERROR ToyStore:69 - Product is in Low Inventory. Product [productid=3, name=juice, description=apple, price=5.0, recallStatus=false] Quantity:30 Required:50
2015-09-09 16:17:49 ERROR ToyStore:70 - No ProductId 4 in Store.
2015-09-09 16:25:26 ERROR ToyStore:69 - Product is in Low Inventory. Product [productid=3, name=juice, description=apple, price=5.0, recallStatus=false] Quantity:30 Required:50
2015-09-09 16:25:26 ERROR ToyStore:70 - No ProductId 4 in Store.
2015-09-09 16:29:12 ERROR ToyStore:69 - Product is in Low Inventory. Product [productid=3, name=juice, description=apple, price=5.0, recallStatus=false] Quantity:30 Required:50
2015-09-09 16:29:55 ERROR ToyStore:69 - Product is in Low Inventory. Product [productid=3, name=juice, description=apple, price=5.0, recallStatus=false] Quantity:30 Required:50
2015-09-09 16:30:13 ERROR ToyStore:68 - Product is in Recall Status. Product [productid=3, name=juice, description=apple, price=5.0, recallStatus=true] Quantity:30
2015-09-09 16:31:21 ERROR ToyStore:68 - Product is in Recall Status. Product [productid=3, name=juice, description=apple, price=5.0, recallStatus=true] Quantity:30
2015-09-10 13:47:35 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 22316618 Quantity:100
2015-09-10 13:47:35 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 9030750 Quantity:0 Required:100
2015-09-10 13:47:35 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 9030750 Quantity:0 Required:100
2015-09-10 13:48:22 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 23414511 Quantity:100
2015-09-10 13:48:22 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 24392121 Quantity:0 Required:100
2015-09-10 13:48:22 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 24392121 Quantity:0 Required:100
2015-09-10 13:48:23 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 11732976 Quantity:100
2015-09-10 13:48:23 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 30293957 Quantity:0 Required:100
2015-09-10 13:48:23 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 30293957 Quantity:0 Required:100
2015-09-10 13:49:41 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 23414511 Quantity:100
2015-09-10 13:49:41 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 24392121 Quantity:0 Required:100
2015-09-10 13:49:41 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 24392121 Quantity:0 Required:100
2015-09-10 13:49:41 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 11732976 Quantity:100
2015-09-10 13:49:41 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 30293957 Quantity:0 Required:100
2015-09-10 13:49:41 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 30293957 Quantity:0 Required:100
2015-09-10 13:50:11 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 24389376 Quantity:100
2015-09-10 13:50:11 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 3916915 Quantity:0 Required:100
2015-09-10 13:50:11 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 3916915 Quantity:0 Required:100
2015-09-10 13:50:38 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 11317592 Quantity:100
2015-09-10 13:50:38 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 31365828 Quantity:0 Required:100
2015-09-10 13:50:38 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 31365828 Quantity:0 Required:100
2015-09-10 13:50:59 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 23414511 Quantity:100
2015-09-10 13:50:59 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 24392121 Quantity:0 Required:100
2015-09-10 13:50:59 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 24392121 Quantity:0 Required:100
2015-09-10 13:51:00 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 11732976 Quantity:100
2015-09-10 13:51:00 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 30293957 Quantity:0 Required:100
2015-09-10 13:51:00 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 30293957 Quantity:0 Required:100
2015-09-10 13:53:14 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 1321194 Quantity:100
2015-09-10 13:53:14 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 23886295 Quantity:0 Required:100
2015-09-10 13:53:14 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 23886295 Quantity:0 Required:100
2015-09-10 13:53:14 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 30293957 Quantity:100
2015-09-10 13:53:14 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 29154294 Quantity:0 Required:100
2015-09-10 13:53:14 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 29154294 Quantity:0 Required:100
2015-09-10 13:54:35 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 23414511 Quantity:100
2015-09-10 13:54:35 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 24392121 Quantity:0 Required:100
2015-09-10 13:54:35 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 24392121 Quantity:0 Required:100
2015-09-10 13:54:35 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 11732976 Quantity:100
2015-09-10 13:54:35 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 30293957 Quantity:0 Required:100
2015-09-10 13:54:35 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 30293957 Quantity:0 Required:100
2015-09-10 13:54:50 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 24389376 Quantity:100
2015-09-10 13:54:50 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 3916915 Quantity:0 Required:100
2015-09-10 13:54:50 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 3916915 Quantity:0 Required:100
2015-09-10 13:55:30 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 24389376 Quantity:100
2015-09-10 13:55:30 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 3916915 Quantity:0 Required:100
2015-09-10 13:55:30 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 3916915 Quantity:0 Required:100
2015-09-10 13:55:44 ERROR ToyStore:64 - Product is in Recall Status. Mock for Product, hashCode: 11317592 Quantity:100
2015-09-10 13:55:44 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 31365828 Quantity:0 Required:100
2015-09-10 13:55:44 ERROR ToyStore:65 - Product is in Low Inventory. Mock for Product, hashCode: 31365828 Quantity:0 Required:100
